"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36015.070459561","","","","",
"Andorra","AND","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","895.599144776543","945.686929803215","940.476294336328","1039.40823839825","1095.65562315899","1245.05921536203","1283.04097940244","1525.51704434099","1629.16728380707","1712.58871978343","1933.39625701207","1937.85596483349","1945.50242058247","",
"Angola","AGO","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2539.88408370267","2515.11771290696","2318.79042299944","1729.52442068999","1770.09295694347","1934.64890927303","2128.24624780214","2271.87264452928","2386.0963816173","2430.14038137762","2482.66054922172","2560.68816358192","2858.89735021043","2961.96698957767","3256.65309461914","3838.26455931097","4614.59078723391","5613.23216200315","6298.01240899954","6284.2748658035","6360.8489551483","6524.48118084089","6755.17061932689","7083.90343496259","7227.44077131625","",
"Albania","ALB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2840.98723449143","2079.45198485958","1985.72469070634","2241.77087925198","2494.7731833378","2903.41139336806","3245.55755781673","2982.99239553394","3419.77114055143","3847.07575478155","4248.83789070839","4693.7041975562","4918.69333368358","5322.60832234141","5815.88983654501","6365.68088362333","7181.10822762171","7659.17352668723","8769.11767025522","9345.09376150331","9297.49275289637","9640.13021649275","9666.69732164956","9925.90662345448","10428.4558717232","",
"Arab World","ARB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6485.69698928071","6378.62736051971","6738.67394795341","6978.36571066894","7169.24598276859","7298.07600952193","7621.84402891553","7950.62263033527","8320.20316974617","8558.05705685197","8972.6966733471","9211.00143082545","9289.51849597831","9596.91178833717","10564.2408744963","11304.5808362946","12177.4395054055","12888.3504440987","13625.3211800776","13701.2100847188","14160.757960287","14555.3465057435","15381.1510431484","15754.5006267338","15910.1038785175","",
"United Arab Emirates","ARE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74016.4349789131","73036.3002923984","73153.5195317549","71959.086382626","74683.0578376505","77466.4072388933","79479.6116297208","83164.4080200281","80039.3937103427","79261.5713495392","84974.0202553286","83532.6961497348","82368.8381498238","85562.7570920903","87842.8049215931","84337.4924056813","82753.4311303075","75426.0179077339","69123.6854973416","59099.7728074485","56244.8999154816","57416.9742975674","59693.2735605237","63116.6024223962","66009.2570317806","",
"Argentina","ARG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2414.40150066202","2223.44591506761","1347.49088952833","1287.95417735558","1419.99153961188","1581.73294260597","1731.80656504378","1840.69599796794","2012.3388831387","2123.61322577432","2313.33193028303","2605.77159887454","3007.21937970917","3510.31680787454","3998.14311675396","4716.24325736811","5526.0927792899","6483.50460974204","7097.91213866805","6158.30141402362","6376.2681923789","6803.48299708481","7398.45305227959","7735.51844816855","8077.53328659488","",
"American Samoa","ASM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
